CID,amount
N00008006,56027
N00008022,1000
N00008028,514796
N00008032,591894
N00008038,4560508
N00008046,249431
N00008050,3200
N00008051,335143
N00008071,220065
N00008072,133164457
N00008086,562051
N00008091,896103
N00008092,2502590
N00008094,237638
N00008113,1510888
N00008122,222319
N00008144,512218
N00008166,3107889
N00008188,271743
N00008264,388150
N00008274,450240
N00008619,468430
N00008669,961242
N00008799,392612
N00008954,216
N00008957,10650
N00008971,300
N00009082,33616
N00009086,1000
N00009154,665015
N00009157,261293
N00009570,532634
N00009571,712859
N00009573,138888
N00009576,3000
N00009585,493784
N00009586,366903
N00009604,212061
N00009608,1709086
N00009614,377555
N00009618,433272
N00009635,835901
N00009637,366781
N00009638,1485469
N00009652,1500
N00009659,3038274
N00009660,13350
N00009668,719517
N00009670,1289440
N00009676,1200
N00009677,227150
N00009699,516819
N00009704,4800293
N00009714,5000
N00009715,547569
N00009717,5500
N00009719,26142
N00009724,332602
N00009738,205456
N00009748,2000
N00009753,2646918
N00009759,645888
N00009770,300
N00009771,856969
N00009774,500672
N00009775,406115
N00009779,4000
N00009795,383253
N00009816,231296
N00009818,579629
N00009821,502085
N00009824,650040
N00009825,24143
N00009828,543963
N00009829,124207
N00009852,86310
N00009869,476657
N00009876,2000
N00009888,321375
N00009918,145761
N00009920,1476560
N00009922,2244303
N00009926,398155
N00009930,250
N00009937,8200
N00009945,34516
N00009954,105273
N00009957,374399
N00009975,269991
N00010084,217612
N00011046,20170
N00011875,146656
N00011971,396233
N00012307,105222
N00012457,315425
N00012460,168084
N00012484,1000
N00012508,459805
N00012526,543
N00012539,415773
N00012545,5000
N00012560,1438354
N00012586,730449
N00012611,290587
N00012613,4500
N00012615,250
N00012618,1400
N00012623,1000
N00012642,2000
N00012656,673155
N00012672,802885
N00012721,500
N00012739,167712
N00012770,1000
N00012774,1000
N00012781,4000
N00012807,500
N00012812,133045
N00012840,2039
N00012890,314649
N00012933,1000
N00012937,5000
N00012941,3000
N00012942,293654
N00012970,8765
N00013055,4500
N00013078,259478
N00013097,1000
N00013131,1219033
N00013148,4000
N00013177,3500
N00013208,1500
N00013219,800
N00013247,2500
N00013258,250
N00013269,22500
N00013291,5500
N00013323,896222
N00013334,953
N00013345,509646
N00013738,2000
N00013739,178367
N00013743,1500
N00013744,166860
N00013756,3015904
N00013765,9159
N00013767,3800
N00013770,585546
N00013789,1000
N00013790,4250
N00013799,344075
N00013800,500
N00013806,8000
N00013808,294591
N00013809,1000
N00013811,3000
N00013814,335316
N00013818,1000
N00013820,513708
N00013823,99994
N00013831,1000
N00013833,2547
N00013834,16500
N00013836,58756
N00013837,322246
N00013839,13500
N00013841,3040857
N00013844,1000
N00013846,144554
N00013847,499295
N00013850,27993
N00013855,357649
N00013856,1000
N00013867,2500
N00013869,890936
N00013870,445640
N00013873,302077
N00013874,1000
N00013877,337781
N00013878,100
N00013879,1500
N00013880,1000
N00015205,186744
N00015884,1850
N00024757,784
N00024759,918602
N00024760,675512
N00024761,14500
N00024770,815298
N00024771,5000
N00024772,1000
N00024773,6508029
N00024777,565952
N00024780,8500
N00024782,4750
N00024790,953
N00024792,58532
N00024803,3000
N00024808,7550
N00024809,303724
N00024812,6000
N00024813,447129
N00024823,1000
N00024824,26846
N00024827,1000
N00024830,200
N00024838,1000
N00024848,250
N00024850,2000
N00024851,528833
N00024852,283404
N00024858,6827179
N00024861,1000
N00024862,1529883
N00024866,5005
N00024869,222
N00024870,361803
N00024871,683804
N00024874,470638
N00024875,2649644
N00024877,592
N00024880,1000
N00024882,773598
N00024893,2000
N00024894,14174
N00024912,15000
N00024919,436952
N00024922,674976
N00024924,48
N00024926,165460
N00024931,2276155
N00024933,500
N00024935,5394
N00024938,500
N00024945,1000
N00024947,577281
N00024958,500
N00024963,1502
N00024974,6192
N00024977,2526064
N00024978,180609
N00024979,2000
N00024985,1547
N00024992,600598
N00025005,50650
N00025018,375
N00025019,1547
N00025025,1711892
N00025031,2547
N00025034,750
N00025035,1638
N00025049,1513
N00025054,723532
N00025059,477634
N00025063,113699
N00025072,5000
N00025083,3500
N00025084,4547
N00025085,6000
N00025089,341
N00025093,554262
N00025095,571826
N00025101,2047
N00025131,1056
N00025138,936847
N00025140,8199
N00025145,25448
N00025172,469118
N00025175,449584
N00025187,3000
N00025218,1573
N00025219,517822
N00025236,5000
N00025237,305660
N00025248,75
N00025250,1000
N00025253,1124
N00025258,1000
N00025259,56970
N00025261,1000
N00025262,1016450
N00025269,13502
N00025273,17791
N00025280,425542
N00025284,317728
N00025286,3000
N00025287,3000
N00025288,776
N00025292,224639
N00025293,2000
N00025294,165494
N00025299,500
N00025300,12000
N00025314,233726
N00025321,1375
N00025324,26506
N00025326,3250
N00025327,2418
N00025330,388862
N00025337,213351
N00025340,375
N00025341,500
N00025342,1000
N00025343,433
N00025344,40808
N00025346,11840
N00025348,1000
N00025353,1499
N00025357,7800
N00025359,1000
N00025369,8250
N00025371,200
N00025385,250
N00025389,42000
N00025399,1669
N00025408,13000
N00025413,1569058
N00025416,7000
N00025421,71450
N00025443,1349016
N00025445,500
N00025450,6627
N00025461,2500
N00025464,813328
N00025477,4800
N00025481,6760
N00025482,304359
N00025490,1000
N00025502,2500
N00025540,32538
N00025550,1000
N00025551,383
N00025555,1000
N00025556,250
N00025568,42608
N00025578,58500
N00025597,1624939
N00025618,4040
N00025625,1056
N00025626,3000
N00025658,3000
N00025659,750
N00025663,6180620
N00025668,55000
N00025681,2000
N00025692,222094
N00025702,283
N00025716,500
N00025726,480830
N00025733,5000
N00025736,33942
N00025738,558
N00025750,9010
N00025767,4300
N00025778,1000
N00025813,62626
N00025829,3000
N00025859,2500
N00025866,4091
N00025881,9000
N00025882,171128
N00025924,7100
N00026017,19047
N00026023,1300
N00026041,326861
N00026042,65178
N00026043,1023495
N00026044,2500
N00026050,2850171
N00026054,4858
N00026055,253249
N00026062,4500
N00026071,76947
N00026080,2101290
N00026081,18450
N00026083,80960
N00026084,1500
N00026085,5338
N00026087,502727
N00026089,500
N00026091,500
N00026093,500
N00026095,1500
N00026106,548036
N00026110,85210
N00026113,25100
N00026115,1547
N00026116,35810
N00026117,24750
N00026119,1000
N00026120,1013093
N00026130,53102
N00026132,500
N00026133,78445
N00026135,26500
N00026139,88116
N00026141,150
N00026143,2419
N00026144,322
N00026146,1000
N00026148,1151495
N00026150,87453
N00026152,145567
N00026153,202164
N00026154,1300
N00026157,9841
N00026158,285130
N00026160,1091073
N00026163,478919
N00026165,46489
N00026166,394570
N00026167,31500
N00026168,7056
N00026169,4500
N00026170,6500
N00026171,1036340
N00026172,1000
N00026173,12000
N00026174,21500
N00026175,12100
N00026179,24000
N00026180,469364
N00026183,2500
N00026187,68481
N00026197,4232823
N00026201,10509881
N00026202,133800
N00026205,1000
N00026210,27802
N00026215,45000
N00026216,10500
N00026217,16500
N00026218,1000
N00026221,8700
N00026222,20000
N00026223,1000
N00026228,49750
N00026231,722
N00026232,296452
N00026233,1135
N00026234,10450
N00026235,15516
N00026236,47748
N00026237,78829
N00026238,4131
N00026240,13210
N00026242,28000
N00026252,358
N00026253,57550
N00026257,2500
N00026258,500
N00026259,2880
N00026260,10230
N00026264,163342
N00026268,38890
N00026270,2000
N00026272,51757
N00026274,132845
N00026276,1000
N00026277,20275
N00026278,91
N00026280,8000
N00026282,5245
N00026283,69760
N00026285,250
N00026286,95206
